policy,stress,seed,inventory_cost,backlog_cost,wip_cost,cleaning_cost,total_cost,fill_rate,mean_backlog,mean_wip,cleaning_time,action_reject_rate,target_shortfall_ratio,solve_time_median,solve_time_p95,timeout_count
heuristic,0,20560920,1.7534809944975254,7666.817880708655,510.847021353189,11.864759254699937,8191.283142311042,0.30340052934661993,42.59343267060364,97.30419454346456,19.774598757833225,0.0,,0.0,0.0,0
deterministic_rh,0,20560920,7.410596323932078,7006.7010157505665,102.47889299761754,6.203593781382851,7122.794098853497,0.3051128098407873,38.92611675416981,19.519789142403337,10.339322968971418,0.022222222222222223,0.0664583294447584,2.995038471000953,7.608674137000889,0
scenario_block,0,20560920,3.0211157653183203,7589.39735172212,109.61491525825272,8.664751347120312,7710.698134092812,0.28700562918869027,42.163318620678446,20.879031477762428,14.441252245200523,0.06666666666666667,0.08119455094937911,1.8521334180004487,9.067965921599898,0
scenario_rh,0,20560920,5.457941206326058,7014.6507771138295,96.88968762485273,4.193525382531565,7121.19193132754,0.34854346806397246,38.97028209507683,18.455178595210047,6.989208970885942,0.022222222222222223,0.04059582693121814,5.673677442999178,9.807347843199931,0
heuristic,0,20560921,2.5526306525657105,7961.5980863175955,574.1541740742106,14.696231640312684,8553.001122684684,0.28642885076975605,44.2311004795422,109.36269982365917,24.493719400521144,0.0,,0.0,0.0,0
deterministic_rh,0,20560921,15.447820033465657,6480.418090901388,153.17306592315438,5.3841531112614724,6654.423129969268,0.39585946621198925,36.00232272722993,29.175822080600838,8.973588518769121,0.044444444444444446,0.023218682518827825,4.5246502949994465,9.983181351400162,0
scenario_block,0,20560921,16.484259889899537,6639.041722392347,149.53097766846267,5.752367909198492,6810.809327859908,0.3734118628795349,36.883565124401926,28.48209098446908,9.587279848664153,0.08888888888888889,0.07004749216029654,9.781829592000577,9.818976998599464,0
scenario_rh,0,20560921,9.231647281730968,6809.699856752596,157.86154696334103,6.524122857555324,6983.317173855224,0.38506043265740003,37.83166587084776,30.068866088255437,10.873538095925541,0.044444444444444446,0.03210302247817255,9.787162618998991,9.83350267120004,0
heuristic,0,20560922,1.4666139951731045,7594.418433945019,604.4904020145963,13.52222684508676,8213.897676799876,0.31947472429816354,42.19121352191677,115.1410289551612,22.537044741811265,0.0,,0.0,0.0,0
deterministic_rh,0,20560922,11.419553894793934,6454.408845830947,195.47465209895947,4.143459038034456,6665.446510862735,0.4192714209672745,35.85782692128304,37.23326706646848,6.905765063390759,0.1111111111111111,0.032005233394702536,3.817590595999718,5.648439603899896,0
scenario_block,0,20560922,23.85573286778181,6645.672525311385,197.97486083225672,5.399049145746304,6872.90216815717,0.3988169340903455,36.92040291839658,37.70949730138225,8.998415242910507,0.044444444444444446,0.07022992421875854,9.766436892999991,9.800904256399008,0
scenario_rh,0,20560922,11.42092832487688,6427.66917773147,202.75287100659494,4.0566619911371244,6645.899639054081,0.43670432316153135,35.709273209619276,38.61959447744666,6.761103318561874,0.044444444444444446,0.02936698253292449,9.78941311699964,9.86479163670101,0
heuristic,0,20560923,2.03439776917009,9102.376325936004,549.4226508545152,14.852894559366606,9668.686269119054,0.2581304581572903,50.56875736631113,104.65193349609814,24.754824265611006,0.0,,0.0,0.0,0
deterministic_rh,0,20560923,8.382301686821267,8166.374093072782,98.83225411348072,5.368999785364558,8278.957648658448,0.29667263499267077,45.36874496151545,18.825191259710614,8.948332975607597,0.044444444444444446,0.04497422159953885,3.1590231850004784,4.798750400300195,0
scenario_block,0,20560923,9.350538767900312,8130.748755233574,119.60112826663378,6.176176943807887,8265.876599211917,0.3111667368116936,45.1708264179643,22.781167288882628,10.293628239679812,0.06666666666666667,0.06372672478394496,2.836603271000058,7.428290850801204,0
scenario_rh,0,20560923,7.528068040029851,7941.251049620302,105.99039905463223,4.559306276305244,8059.32882299127,0.34564048086931926,44.11806138677946,20.188647438977572,7.598843793842073,0.0,0.04311543776401229,3.8844864289985708,7.477791206999973,0
heuristic,0,20560924,5.6994513504724225,7802.987958306597,566.5643227407608,14.192037307276236,8389.443769705107,0.303743158042869,43.349933101703314,107.91701385538302,23.65339551212706,0.0,,0.0,0.0,0
deterministic_rh,0,20560924,11.448513795763803,6612.2607890512845,148.62082079605443,4.555991481832771,6776.886115124937,0.39841073229383644,36.734782161396026,28.308727770677034,7.593319136387951,0.022222222222222223,0.038733566941998115,4.64057344899993,7.763896330299755,0
