stage,pwa_vs_tcn_nrmse,pwa_vs_des_nrmse,material_violation_pct,capacity_violation_pct,optimistic_error_p95
reaction,0.3426653754024139,0.3509811120411601,0.0,0.0,0.031194298538796995
pressing,0.3271362291765968,0.3747149347542104,0.0,0.0,0.15246545906199185
drying,0.3694308846106062,0.41997152810111865,0.0,0.0,0.13803040559777177
